RESPONDENT_ID,SUBMITTED_AT,CONSENT,PATIENTSATISFACTIONSCORE_OUTCOME,PERCEIVEDSTRESSSCORE
SIM-0001,2026-07-21T00:54:13+00:00,1,4,1
SIM-0002,2026-07-21T07:39:42+00:00,1,2,3
SIM-0003,2026-07-21T14:11:42+00:00,1,5,4
SIM-0004,2026-07-21T20:29:53+00:00,1,1,3
SIM-0005,2026-07-22T03:31:25+00:00,1,4,2
SIM-0006,2026-07-22T10:09:09+00:00,1,4,5
SIM-0007,2026-07-22T16:38:49+00:00,1,5,1
SIM-0008,2026-07-22T23:54:16+00:00,1,5,3
SIM-0009,2026-07-23T06:14:35+00:00,1,2,3
SIM-0010,2026-07-23T12:45:23+00:00,1,5,5
SIM-0011,2026-07-23T19:46:06+00:00,1,4,3
SIM-0012,2026-07-24T02:14:20+00:00,1,4,1
SIM-0013,2026-07-24T09:04:03+00:00,1,1,2
SIM-0014,2026-07-24T16:04:50+00:00,1,2,2
SIM-0015,2026-07-24T22:36:16+00:00,1,1,2
SIM-0016,2026-07-25T05:02:11+00:00,1,4,5
SIM-0017,2026-07-25T11:34:24+00:00,1,5,4
SIM-0018,2026-07-25T18:40:38+00:00,1,2,5
SIM-0019,2026-07-26T01:26:42+00:00,1,4,4
SIM-0020,2026-07-26T07:51:39+00:00,1,5,5
SIM-0021,2026-07-26T14:40:23+00:00,1,4,3
SIM-0022,2026-07-26T21:37:14+00:00,1,4,5
SIM-0023,2026-07-27T03:59:11+00:00,1,1,5
SIM-0024,2026-07-27T10:51:17+00:00,1,3,5
SIM-0025,2026-07-27T17:39:34+00:00,1,3,5
SIM-0026,2026-07-28T00:26:03+00:00,1,2,4
SIM-0027,2026-07-28T07:32:30+00:00,1,4,5
SIM-0028,2026-07-28T13:57:52+00:00,1,3,1
SIM-0029,2026-07-28T21:03:50+00:00,1,3,4
SIM-0030,2026-07-29T03:46:34+00:00,1,1,3
SIM-0031,2026-07-29T10:17:55+00:00,1,3,4
SIM-0032,2026-07-29T16:26:57+00:00,1,3,4
SIM-0033,2026-07-29T23:20:44+00:00,1,2,3
SIM-0034,2026-07-30T06:08:36+00:00,1,2,2
SIM-0035,2026-07-30T13:10:18+00:00,1,2,5
SIM-0036,2026-07-30T19:46:14+00:00,1,4,5
SIM-0037,2026-07-31T02:15:35+00:00,1,4,3
SIM-0038,2026-07-31T09:06:55+00:00,1,5,5
SIM-0039,2026-07-31T16:15:01+00:00,1,5,5
SIM-0040,2026-07-31T22:09:12+00:00,1,2,2
SIM-0041,2026-08-01T05:04:46+00:00,1,2,4
SIM-0042,2026-08-01T11:38:52+00:00,1,3,4
SIM-0043,2026-08-01T18:30:39+00:00,1,5,5
SIM-0044,2026-08-02T00:57:54+00:00,1,1,3
SIM-0045,2026-08-02T08:10:55+00:00,1,3,3
SIM-0046,2026-08-02T15:16:00+00:00,1,2,5
SIM-0047,2026-08-02T21:55:02+00:00,1,1,3
SIM-0048,2026-08-03T04:01:30+00:00,1,5,5
SIM-0049,2026-08-03T10:33:55+00:00,1,2,2
SIM-0050,2026-08-03T18:12:56+00:00,1,4,5
